group,string,score,dataId,idG
group112,Capsule - Capsule New York Women's RTW http://capsuleshow.com/,0.6773429356,440,0
group112,Capsule - Capsule Paris Women's http://capsuleshow.com/,0.8505265047,527,0
group112,Capsule - Capsule Paris Men's http://capsuleshow.com/,1,1682,0
group112,Capsule - Capsule New York Men's http://capsuleshow.com/,0.8743622856,1819,0
group112,Capsule - Capsule New York Women's RTW http://capsuleshow.com/,0.6773429356,2274,0
group112,Capsule - Capsule New York Women's RTW A/W 2018 http://capsuleshow.com/,0.6724277693,3674,1
group113,International Green Week Berlin(IGW) http://www.gruenewoche.de/en/,1,114,0
group113,International Green Week Berlin(IGW) http://www.gruenewoche.de/,0.9782383627,3358,1
group114,BIJORHCA PARIS(BIJORHCA) http://www.bijorhca.com/en/Home/,1,115,0
group114,BIJORHCA PARIS http://www.bijorhca.com/en/Home/,0.9895549615,2123,0
group114,BIJORHCA PARIS http://www.bijorhca.com/,0.967482377,3356,1
group115,WHO'S NEXT http://www.whosnext-tradeshow.com/,1,116,0
group115,WHO'S NEXT http://www.whosnext-tradeshow.com/,1,2141,0
group116,MAISON&OBJET PARIS(M&O PARIS) http://www.maison-objet.com/en/paris,1,117,0
group116,MAISON&OBJET PARIS(M&O PARIS) http://www.maison-objet.com/en/paris,1,2131,0
group116,MAISON&OBJET PARIS http://www.maison-objet.com/en/paris,0.9842843948,3355,1
group116,MAISON&OBJET PARIS http://www.maison-objet.com/en/paris,0.9842843948,4717,1
group117,PREMIERE CLASSE http://www.premiere-classe.com/,1,118,0
group117,PREMIERE CLASSE http://www.premiere-classe.com/,1,535,0
group117,PREMIERE CLASSE http://www.premiere-classe.com/,1,2140,0
group117,PREMIERE CLASSE http://www.premiere-classe.com/,1,2491,0
group117,PREMIERE CLASSE http://www.premiere-classe.com/,1,3360,1
group117,PREMIERE CLASSE http://www.premiere-classe.com/,1,3732,1
group118,Myanmar International Franchise & SME Expo 2017 (MIF 2017) http://www.myanmarfranchise.net/,1,119,0
group119,AKS Gem Shows - New Orleans Winter Bead & Jewelry Show http://www.aksshow.com,1,120,0
group119,AKS Gem Shows - Oklahoma Summer Bead & Jewelry Show http://aksshow.com,0.7253339472,1779,0
group119,AKS Gem Shows - New Orleans Fall Bead & Jewelry Show http://aksshow.com,0.8970004379,2126,0
group120,Economic Times ACETECH AHMEDABAD 2017(ET ACETECH) http://www.etacetech.com/,1,121,0
group121,Vicenzaoro January 2017 http://www.vicenzaoro.com/,1,122,0
group121,Vicenzaoro January 2017 http://www.vicenzaoro.com/,1,123,0
group121,Vicenzaoro September 2017 http://www.vicenzaoro.com/,0.8350894713,2416,0
group122,Vicenzaoro January 2017 http://www.vicenzaoro.com/,1,122,0
group122,Vicenzaoro January 2017 http://www.vicenzaoro.com/,1,123,0
group122,Vicenzaoro September 2017 http://www.vicenzaoro.com/,0.8350894713,2416,0
group123,hanseBAU 2017 http://www.hansebau-bremen.de/,1,124,0
group123,hanseBAU 2018 http://www.hansebau-bremen.de/,0.9862916087,3363,1
group124,Japan Fishing Show 2017 http://www.fishingshow.jp/,1,125,0
group124,Fishing Show OSAKA 2017 http://www.fishing.or.jp/,0.5751322105,226,0
group124,Japan Fishing Show 2018 http://www.fishingshow.jp/,0.9667590656,3359,1
group124,Fishing Show OSAKA 2018 http://www.fishing.or.jp/,0.5530177909,3488,1
group125,Toronto International Boat Show http://www.torontoboatshow.com/,1,126,0
group125,Toronto International Boat Show http://www.torontoboatshow.com/,1,3298,1
group126,Tranoi Paris Men's http://www.tranoi.com/,1,127,0
group126,Tranoi Paris Women's http://www.tranoi.com/,0.8378616179,544,0
group126,Tranoi Paris Men's http://www.tranoi.com/,1,1677,0
group126,Tranoi Paris Women's http://www.tranoi.com/,0.8378616179,2497,0
group126,Tranoi Paris Women's http://www.tranoi.com/,0.8378616179,3746,1
group127,SIRHA2017 http://www.sirha.com/,1,128,0
group128,International Boat Show Duesseldorf(boot Duesseldorf) http://www.boat-duesseldorf.com/,1,129,0
